Search terms
All time
Search term,Search terms match type,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
acheron river horse riding price,Broad match,None,3,7,42.86%,EUR,0.07,0.22,28.57%,57.14%,0.00,0,0,0.00%
acheron river kayak,Broad match,None,0,7,0.00%,EUR,0,0.00,0.00%,40.00%,0.00,0,0,0
acheron river parga,Broad match,None,5,47,10.64%,EUR,0.25,1.23,18.42%,76.32%,0.00,0,0,0.00%
acheron river parga,Phrase match (close variant),None,4,41,9.76%,EUR,0.45,1.79,3.85%,53.85%,0.00,0,0,0.00%
acheron river parga greece,Broad match,None,0,16,0.00%,EUR,0,0.00,0.00%,33.33%,0.00,0,0,0
acheron river parga greece,Phrase match (close variant),None,0,17,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
acheron river rafting,Phrase match,None,2,5,40.00%,EUR,0.06,0.12,20.00%,40.00%,0.00,0,0,0.00%
acheron river rafting,Broad match,None,0,2,0.00%,EUR,0,0.00,50.00%,100.00%,0.00,0,0,0
acheron river rafting,Exact match (close variant),None,8,54,14.81%,EUR,0.08,0.63,25.53%,78.72%,0.00,0,0,0.00%
acheron river springs,Broad match,None,4,32,12.50%,EUR,0.18,0.71,25.00%,100.00%,0.00,0,0,0.00%
acheron river tour,Broad match,None,1,15,6.67%,EUR,0.01,0.01,20.00%,60.00%,0.00,0,0,0.00%
acheron river tour parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
acheron river tour parga,Phrase match (close variant),None,3,7,42.86%,EUR,0.32,0.96,16.67%,33.33%,0.00,0,0,0.00%
acheron river trip,Broad match,None,0,9,0.00%,EUR,0,0.00,0.00%,44.44%,0.00,0,0,0
acheron river trip from parga,Broad match,None,0,14,0.00%,EUR,0,0.00,0.00%,57.14%,0.00,0,0,0
acheron river trip from parga,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
acheron river trip parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
acheron river trips,Broad match,None,0,4,0.00%,EUR,0,0.00,0.00%,25.00%,0.00,0,0,0
acheron river walk,Broad match,None,7,61,11.48%,EUR,0.20,1.43,37.50%,62.50%,0.00,0,0,0.00%
acheron springs hike,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
acheron springs parga,Broad match,None,0,5,0.00%,EUR,0,0.00,0.00%,40.00%,0.00,0,0,0
acheron springs parga,Phrase match (close variant),None,0,6,0.00%,EUR,0,0.00,16.67%,83.33%,0.00,0,0,0
acheron springs rafting,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
acheron springs rafting,Exact match (close variant),None,8,41,19.51%,EUR,0.07,0.55,30.56%,80.56%,0.00,0,0,0.00%
acheron springs vouvopotamos greece,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
acheron springs walk,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
acherontas river,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
acherontas springs,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
acheronte rafting,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
acheronte rafting,Exact match (close variant),None,1,3,33.33%,EUR,0.06,0.06,0.00%,33.33%,0.00,0,0,0.00%
activiteiten parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
agios sostis beach parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
agios sostis parga,Broad match,None,0,5,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
aheron reka,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
ai giannakis beach parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
ai giannakis beach parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
akis parga,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
aktiviteter for parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
ali pasha castle parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
anthousa waterfall,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
aphrodite's cave parga,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
apollo utflykter parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
area 19 acheron rafting canoe kayak,Phrase match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
area 19 acheron rafting canoe kayak,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
argus tours parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
arkoudas parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
ausflüge parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
axerontas,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
axerontas potamos,Exact match (close variant),None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
axerontas river,Broad match,None,0,2,0.00%,EUR,0,0.00,50.00%,50.00%,0.00,0,0,0
axerontas river,Broad match,None,1,10,10.00%,EUR,0.20,0.20,40.00%,60.00%,0.00,0,0,0.00%
b parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
bacchos parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
beach in parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
beach in parga,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,50.00%,50.00%,0.00,0,0,0
beach near parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
beach parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
beach parga greece,Broad match,None,0,2,0.00%,EUR,0,0.00,50.00%,100.00%,0.00,0,0,0
beach parga greece,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
beaches around parga,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
beaches around parga greece,Phrase match (close variant),None,0,3,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
beaches in parga,Broad match,None,3,7,42.86%,EUR,0.37,1.10,71.43%,85.71%,0.00,0,0,0.00%
beaches in parga,Phrase match (close variant),None,1,10,10.00%,EUR,0.18,0.18,22.22%,77.78%,0.00,0,0,0.00%
beaches in parga greece,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
beaches in parga greece,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
beaches near parga,Broad match,None,2,4,50.00%,EUR,0.43,0.86,50.00%,100.00%,0.00,0,0,0.00%
beaches near parga,Phrase match (close variant),None,0,6,0.00%,EUR,0,0.00,33.33%,33.33%,0.00,0,0,0
beaches of parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
best area to stay in parga,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
best bars in parga,Broad match,None,0,5,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
best beach in parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
best beach in parga,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
best beach in parga greece,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
best beach parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
best beaches around parga,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
best beaches in parga,Broad match,None,2,14,14.29%,EUR,0.39,0.78,0.00%,55.56%,0.00,0,0,0.00%
best beaches in parga,Phrase match (close variant),None,1,14,7.14%,EUR,0.62,0.62,23.08%,76.92%,0.00,0,0,0.00%
best beaches in parga greece,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
best beaches in parga greece,Phrase match (close variant),None,0,4,0.00%,EUR,0,0.00,0.00%,75.00%,0.00,0,0,0
best beaches near parga,Broad match,None,0,4,0.00%,EUR,0,0.00,50.00%,50.00%,0.00,0,0,0
best beaches near parga,Phrase match (close variant),None,0,5,0.00%,EUR,0,0.00,0.00%,60.00%,0.00,0,0,0
best beaches near parga greece,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
best beaches parga,Broad match,None,0,4,0.00%,EUR,0,0.00,50.00%,50.00%,0.00,0,0,0
best beaches parga,Phrase match (close variant),None,0,4,0.00%,EUR,0,0.00,0.00%,33.33%,0.00,0,0,0
best beaches parga greece,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
best beaches parga greece,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
best parga beaches,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
best places in parga,Exact match (close variant),None,1,3,33.33%,EUR,0.05,0.05,0.00%,100.00%,0.00,0,0,0.00%
best things to do in parga,Exact match (close variant),None,1,3,33.33%,EUR,0.36,0.36,0.00%,100.00%,0.00,0,0,0.00%
bezienswaardigheden parga en omgeving,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
blue caves parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
blue lagoon parga greece,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
boat from parga to antipaxos,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
boat from parga to paxos,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
boat from parga to sarakiniko,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
boat hire parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
boat rental parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
boat taxi parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
boat trip acheron,Broad match,None,1,13,7.69%,EUR,0.08,0.08,15.38%,53.85%,0.00,0,0,0.00%
boat trip from parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
boat trip from parga to antipaxos,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
boat trip from parga to paxos,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
boat trip from parga to paxos,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
boat trip parga,Broad match,None,0,3,0.00%,EUR,0,0.00,33.33%,100.00%,0.00,0,0,0
boat trip parga,Phrase match (close variant),None,0,3,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
boat trip parga to paxos,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,50.00%,100.00%,0.00,0,0,0
boat trips from parga,Broad match,None,1,13,7.69%,EUR,0.08,0.08,0.00%,61.54%,0.00,0,0,0.00%
boat trips from parga,Phrase match (close variant),None,1,7,14.29%,EUR,0.24,0.24,42.86%,42.86%,0.00,0,0,0.00%
boat trips from parga harbour,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
boat trips from parga to corfu,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
boat trips from parga to corfu,Phrase match (close variant),None,0,3,0.00%,EUR,0,0.00,33.33%,66.67%,0.00,0,0,0
boat trips parga,Broad match,None,1,4,25.00%,EUR,0.38,0.38,0.00%,100.00%,0.00,0,0,0.00%
boat trips parga,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
bus parga,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
c parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
camping in parga greece,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
camping parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
camping parga greece,Broad match,None,0,3,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
camping parga lichnos,Broad match,None,1,1,100.00%,EUR,0.42,0.42,0,0,0.00,0,0,0.00%
cape north west parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
captain hook 2 parga photos,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
captain hook boat parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
captain hook ii parga,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
captain hook parga,Broad match,None,0,3,0.00%,EUR,0,0.00,66.67%,100.00%,0.00,0,0,0
captain hook parga greece,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
captain hook parga paxos,Broad match,None,0,3,0.00%,EUR,0,0.00,33.33%,100.00%,0.00,0,0,0
castello parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
castello veneziano di parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
castle in parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
chania horse riding,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
charter parga 2024,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
church parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
club parga,Broad match,None,0,8,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
corfu to parga day trip,Broad match,None,0,3,0.00%,EUR,0,0.00,66.67%,100.00%,0.00,0,0,0
cosa vedere a parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
cosa vedere vicino parga,Broad match,None,0,3,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
cosa visitare a parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
cose da fare a parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
cruise parga paxos,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
cruises from parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
day trip from parga to corfu,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
day trip from parga to paxos,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
day trips from parga,Broad match,None,2,41,4.88%,EUR,0.25,0.50,19.51%,34.15%,0.00,0,0,0.00%
day trips from parga,Phrase match (close variant),None,0,9,0.00%,EUR,0,0.00,33.33%,44.44%,0.00,0,0,0
day trips from parga greece,Phrase match (close variant),None,1,4,25.00%,EUR,0.08,0.08,0.00%,0.00%,0.00,0,0,0.00%
diamanto parga,Broad match,None,0,2,0.00%,EUR,0,0.00,50.00%,100.00%,0.00,0,0,0
diving parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
ekdromi parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
eliza was here parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
ephira travel parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
escursioni da parga,Broad match,None,0,3,0.00%,EUR,0,0.00,0.00%,66.67%,0.00,0,0,0
ever since parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
excursies parga,Broad match,None,0,3,0.00%,EUR,0,0.00,33.33%,100.00%,0.00,0,0,0
excursies parga griekenland,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
excursies vanuit parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
excursii din parga,Broad match,None,0,4,0.00%,EUR,0,0.00,25.00%,75.00%,0.00,0,0,0
excursions from parga,Broad match,None,2,7,28.57%,EUR,0.19,0.38,0.00%,28.57%,0.00,0,0,0.00%
excursions from parga,Exact match (close variant),None,1,2,50.00%,EUR,0.22,0.22,0.00%,100.00%,0.00,0,0,0.00%
excursions from parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
excursions from parga greece,Exact match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
excursions parga,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
excursions parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
ferry boat parga paxos,Broad match,None,2,4,50.00%,EUR,0.34,0.68,50.00%,100.00%,0.00,0,0,0.00%
fiume acheronte parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
flisvos parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
flying fox αχεροντασ,Broad match,None,0,7,0.00%,EUR,0,0.00,28.57%,28.57%,0.00,0,0,0
flying fox αχεροντασ,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
from parga to paxos,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
from parga to paxos and antipaxos,Broad match,None,0,2,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
get your guide parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
grand tours parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
griekse gids parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
guil rafting,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
happy traveller parga,Broad match,None,0,3,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
happy traveller παργα,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
hidden gems mainland greece,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
hiking parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
hiking parga,Phrase match (close variant),None,0,5,0.00%,EUR,0,0.00,0.00%,25.00%,0.00,0,0,0
holiday in parga,Broad match,None,0,4,0.00%,EUR,0,0.00,0.00%,75.00%,0.00,0,0,0
holiday parga,Broad match,None,0,40,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
horse riding acheron river,Broad match,None,10,16,62.50%,EUR,0.07,0.74,35.71%,85.71%,0.00,0,0,0.00%
horse riding chania,Broad match,None,1,22,4.55%,EUR,0.42,0.42,13.64%,77.27%,0.00,0,0,0.00%
horse riding crete chania,Broad match,None,2,3,66.67%,EUR,0.34,0.68,0.00%,100.00%,0.00,0,0,0.00%
horse riding faliraki,Broad match,None,0,2,0.00%,EUR,0,0.00,50.00%,100.00%,0.00,0,0,0
horse riding faliraki rhodes,Broad match,None,0,2,0.00%,EUR,0,0.00,50.00%,100.00%,0.00,0,0,0
horse riding greece,Broad match,None,0,7,0.00%,EUR,0,0.00,14.29%,100.00%,0.00,0,0,0
horse riding holidays greece,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
horse riding in greece,Broad match,None,0,6,0.00%,EUR,0,0.00,16.67%,100.00%,0.00,0,0,0
horse riding kreta,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
horse riding parga,Phrase match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
horse riding parga,Broad match,None,1,4,25.00%,EUR,0.49,0.49,50.00%,75.00%,0.00,0,0,0.00%
horse riding parga,Exact match (close variant),None,1,1,100.00%,EUR,0.08,0.08,0.00%,100.00%,0.00,0,0,0.00%
horse riding parga,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,50.00%,50.00%,0.00,0,0,0
horse riding rhodes greece,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
hva kan man gjøre i parga,Broad match,None,1,5,20.00%,EUR,0.43,0.43,40.00%,100.00%,0.00,0,0,0.00%
is parga a good place to holiday,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
is parga greece expensive,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
is parga greece worth visiting,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
is parga worth visiting,Broad match,None,2,12,16.67%,EUR,0.34,0.67,33.33%,83.33%,0.00,0,0,0.00%
jet ski parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
jetski parga,Phrase match (close variant),None,0,2,0.00%,EUR,0,0.00,50.00%,100.00%,0.00,0,0,0
kanaris travel parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
kayak acheron river,Broad match,None,0,6,0.00%,EUR,0,0.00,0.00%,20.00%,0.00,0,0,0
kreta horse riding,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
krioneri beach parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
krioneri beach parga,Phrase match (close variant),None,0,4,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
krioneri parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
la scala parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
laganas horse riding center zakynthos,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
lefkada or parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
letovanje parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
lichnos beach parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
lihnos parga,Broad match,None,0,4,0.00%,EUR,0,0.00,25.00%,75.00%,0.00,0,0,0
los parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
loutsa beach parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
mansion house parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
maps parga,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
marco polo boat parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
marco polo boat trip parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
marco polo cruise parga,Phrase match (close variant),None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
marco polo parga,Broad match,None,0,4,0.00%,EUR,0,0.00,0.00%,66.67%,0.00,0,0,0
marco polo parga boat,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
